date,spend_all
2020-1-13,-.00377
2020-1-14,.0184
2020-1-15,.0124
2020-1-16,-.0383
2020-1-17,-.0336
2020-1-18,-.013
2020-1-19,.00722
2020-1-20,.00736
2020-1-21,.00492
2020-1-22,.0165
2020-1-23,.0696
2020-1-24,.0592
2020-1-25,.0337
2020-1-26,.00136
2020-1-27,-.0224
2020-1-28,-.0399
2020-1-29,-.0379
2020-1-30,-.0225
2020-1-31,-.0116
2020-2-1,-.00508
2020-2-2,-.00942
2020-2-3,.00409
2020-2-4,.00888
2020-2-5,.00986
2020-2-6,-.00021
2020-2-7,-.00226
2020-2-8,.0000181
2020-2-9,.00923
2020-2-10,-.00522
2020-2-11,-.00931
2020-2-12,-.0035
2020-2-13,-.000238
2020-2-14,-.000361
2020-2-15,-.00536
2020-2-16,-.00398
2020-2-17,.000537
2020-2-18,.00352
2020-2-19,-.00414
2020-2-20,-.00538
2020-2-21,-.0115
2020-2-22,-.0159
2020-2-23,-.0188
2020-2-24,-.0251
2020-2-25,-.0319
2020-2-26,-.0269
2020-2-27,-.0293
2020-2-28,-.036
2020-2-29,-.0184
2020-3-1,-.0297
2020-3-2,-.0127
2020-3-3,-.00146
2020-3-4,-.00664
2020-3-5,-.00982
2020-3-6,-.0113
2020-3-7,-.0034
2020-3-8,.01
2020-3-9,-.00232
2020-3-10,-.0139
2020-3-11,-.0164
2020-3-12,-.00673
2020-3-13,.00501
2020-3-14,-.00146
2020-3-15,-.0171
2020-3-16,-.00779
2020-3-17,-.0138
2020-3-18,-.0295
2020-3-19,-.0597
2020-3-20,-.099
2020-3-21,-.135
2020-3-22,-.159
2020-3-23,-.203
2020-3-24,-.233
2020-3-25,-.255
2020-3-26,-.275
2020-3-27,-.298
2020-3-28,-.314
2020-3-29,-.324
2020-3-30,-.327
2020-3-31,-.32
2020-4-1,-.313
2020-4-2,-.308
2020-4-3,-.301
2020-4-4,-.295
2020-4-5,-.289
2020-4-6,-.285
2020-4-7,-.289
2020-4-8,-.294
2020-4-9,-.296
2020-4-10,-.298
2020-4-11,-.295
2020-4-12,-.316
2020-4-13,-.317
2020-4-14,-.307
2020-4-15,-.29
2020-4-16,-.277
2020-4-17,-.265
2020-4-18,-.256
2020-4-19,-.226
2020-4-20,-.221
2020-4-21,-.198
2020-4-22,-.205
2020-4-23,-.213
2020-4-24,-.218
2020-4-25,-.221
2020-4-26,-.225
2020-4-27,-.218
2020-4-28,-.235
2020-4-29,-.223
2020-4-30,-.212
2020-5-1,-.199
2020-5-2,-.191
2020-5-3,-.184
2020-5-4,-.172
2020-5-5,-.166
2020-5-6,-.164
2020-5-7,-.161
2020-5-8,-.158
2020-5-9,-.149
2020-5-10,-.155
2020-5-11,-.169
2020-5-12,-.172
2020-5-13,-.168
2020-5-14,-.167
2020-5-15,-.165
2020-5-16,-.166
2020-5-17,-.156
2020-5-18,-.141
2020-5-19,-.137
2020-5-20,-.135
2020-5-21,-.13
2020-5-22,-.123
2020-5-23,-.126
2020-5-24,-.129
2020-5-25,-.136
2020-5-26,-.136
2020-5-27,-.102
2020-5-28,-.139
2020-5-29,-.144
2020-5-30,-.144
2020-5-31,-.148
2020-6-1,-.13
2020-6-2,-.119
2020-6-3,-.122
2020-6-4,-.119
2020-6-5,-.113
2020-6-6,-.105
2020-6-7,-.0914
2020-6-8,-.0948
2020-6-9,-.101
2020-6-10,-.0952
2020-6-11,-.0932
2020-6-12,-.0935
2020-6-13,-.0947
2020-6-14,-.1
2020-6-15,-.101
2020-6-16,-.0884
2020-6-17,-.082
2020-6-18,-.0741
2020-6-19,-.0661
2020-6-20,-.0574
2020-6-21,-.0524
2020-6-22,-.052
2020-6-23,-.0618
2020-6-24,-.0698
2020-6-25,-.0828
2020-6-26,-.0932
2020-6-27,-.102
2020-6-28,-.109
2020-6-29,-.106
2020-6-30,-.0924
2020-7-1,-.0842
2020-7-2,-.0697
2020-7-3,-.0804
2020-7-4,-.0518
2020-7-5,-.0504
2020-7-6,-.0472
2020-7-7,-.0532
2020-7-8,-.0593
2020-7-9,-.0671
2020-7-10,-.0678
2020-7-11,-.0687
2020-7-12,-.0633
2020-7-13,-.0694
2020-7-14,-.0686
2020-7-15,-.0608
2020-7-16,-.0591
2020-7-17,-.0591
2020-7-18,-.0629
2020-7-19,-.0641
2020-7-20,-.0652
2020-7-21,-.0693
2020-7-22,-.0735
2020-7-23,-.0717
2020-7-24,-.0642
2020-7-25,-.0601
2020-7-26,-.0573
2020-7-27,-.0594
2020-7-28,-.0614
2020-7-29,-.0614
2020-7-30,-.0663
2020-7-31,-.0673
2020-8-1,-.0725
2020-8-2,-.0796
2020-8-3,-.0701
2020-8-4,-.0649
2020-8-5,-.0645
2020-8-6,-.0589
2020-8-7,-.0582
2020-8-8,-.0488
2020-8-9,-.0375
2020-8-10,-.0427
2020-8-11,-.0433
2020-8-12,-.0402
2020-8-13,-.0398
2020-8-14,-.039
2020-8-15,-.0414
2020-8-16,-.0433
2020-8-17,-.0425
2020-8-18,-.0437
2020-8-19,-.0439
2020-8-20,-.0446
2020-8-21,-.0439
2020-8-22,-.0393
2020-8-23,-.038
2020-8-24,-.0414
2020-8-25,-.0408
2020-8-26,-.0353
2020-8-27,-.0298
2020-8-28,-.0291
2020-8-29,-.0312
2020-8-30,-.0386
2020-8-31,-.0353
2020-9-1,-.0259
2020-9-2,.000149
2020-9-3,-.0292
2020-9-4,-.0315
2020-9-5,-.0319
2020-9-6,-.0237
2020-9-7,-.0356
2020-9-8,-.0384
2020-9-9,-.0482
2020-9-10,-.0446
2020-9-11,-.0476
2020-9-12,-.0447
2020-9-13,-.0494
2020-9-14,-.052
2020-9-15,-.0497
2020-9-16,-.0547
2020-9-17,-.0545
2020-9-18,-.0481
2020-9-19,-.0415
2020-9-20,-.0372
2020-9-21,-.0359
2020-9-22,-.0396
2020-9-23,-.0333
2020-9-24,-.0311
2020-9-25,-.0333
2020-9-26,-.0363
2020-9-27,-.0381
2020-9-28,-.0445
2020-9-29,-.0484
2020-9-30,-.051
2020-10-1,-.0488
2020-10-2,-.0468
2020-10-3,-.0448
2020-10-4,-.0388
2020-10-5,-.0254
2020-10-6,-.0171
2020-10-7,-.0212
2020-10-8,-.024
2020-10-9,-.0221
2020-10-10,-.0266
2020-10-11,-.0316
2020-10-12,-.0446
2020-10-13,-.0375
2020-10-14,-.0223
2020-10-15,-.0291
2020-10-16,-.0329
2020-10-17,-.0316
2020-10-18,-.0293
2020-10-19,-.0337
2020-10-20,-.0325
2020-10-21,-.0344
2020-10-22,-.0332
2020-10-23,-.0312
2020-10-24,-.0258
2020-10-25,-.0258
2020-10-26,-.0335
2020-10-27,-.0373
2020-10-28,-.037
2020-10-29,-.0338
2020-10-30,-.0265
2020-10-31,-.0282
2020-11-1,-.036
2020-11-2,-.0198
2020-11-3,-.0161
2020-11-4,-.026
2020-11-5,-.0341
2020-11-6,-.0412
2020-11-7,-.0399
2020-11-8,-.032
2020-11-9,-.0449
2020-11-10,-.0452
2020-11-11,-.0262
